Beneficiario;Zona concurrencia;X;Y;Municipio;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,439508263;38,39757517;Yeste;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,531159509;38,69770731;Alcaraz;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,012648976;38,41497959;Elche de la Sierra;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,272406509;38,16933992;Nerpio;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,26354904;38,60165088;Bogarra;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,343185295;38,91123199;Lezuza;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,14255257;38,72022232;Peñas de San Pedro;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,982626073;39,13780603;Gineta, La;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,243177645;38,76850716;Casas de Lázaro;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,936454779;39,08349985;Gineta, La;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,41376461;38,48256867;Riópar;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,211236421;38,36626001;Yeste;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,155275604;38,62724267;Bogarra;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,019884102;39,30018364;Villalgordo del Júcar;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,988478869;39,20984426;Tarazona de la Mancha;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,448047395;38,50339985;Riópar;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,992961368;39,23091415;Tarazona de la Mancha;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,284917557;38,31174904;Yeste;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,988384817;39,17360211;Gineta, La;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,068535729;38,60895739;Ayna;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,031355562;38,70046575;Peñas de San Pedro;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,334451828;38,38105619;Yeste;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,316123087;38,45623785;Molinicos;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,247500024;38,92218895;Lezuza;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,291342615;38,29680063;Yeste;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,386523807;38,80862895;Robledo;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,445594287;38,68687933;Alcaraz;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,347776242;38,13457077;Nerpio;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,806221196;39,18444804;Madrigueras;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,503088716;38,54346503;Jijona/Xixona;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;0,143301957;38,73170146;Benitachell/Poble Nou de Benitatxell, el;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,128209269;38,65433839;Callosa d'en Sarrià;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,657034246;38,11722902;San Fulgencio;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;0,034243001;38,79272952;Pedreguer;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;0,018670496;38,8260429;Ondara;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;0,010990187;38,86321389;Poblets, els;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;0,011112878;38,84100376;Verger, el;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,906346584;38,11083682;Redován;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-1,025949369;38,38678709;Pinós, el/Pinoso;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,896527989;38,35816038;Romana, la;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,437450808;38,4808405;Busot;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,27478885;38,61387172;Sella;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,780455047;38,6977271;Beneixama;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;0,089373622;38,7728065;Gata de Gorgos;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,881082611;38,06113708;Bigastro;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,51831402;38,84039714;Albaida;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,84232297;38,09128615;Benejúzar;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,833625728;38,02705608;Jacarilla;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,268308732;38,55977042;Orxeta;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,767902018;38,13923115;Dolores;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,677320799;38,13571698;San Fulgencio;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,835539914;38,07423828;Benejúzar;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,992181817;38,3405994;Algueña;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,779258001;38,63268549;Biar;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,87822608;38,30100741;Fondó de les Neus, el/Hondón de las Nieves;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,76670193;38,62307555;Biar;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,218208669;38,72787017;Castell de Castells;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,110386444;38,76856031;Vall de Laguar, la;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,815716275;38,67362179;Cañada;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,269529889;38,68222223;Confrides;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,550349875;38,77223833;Alfafara;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,418159189;38,60943076;Torremanzanas/Torre de les Maçanes, la;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,42009128;38,77216374;Muro de Alcoy;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,508466571;38,5295869;Jijona/Xixona;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,679249151;38,40959163;Monforte del Cid;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;0,069301032;38,77382235;Gata de Gorgos;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,019956947;38,73542251;Xaló;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;0,049607605;38,77996895;Pedreguer;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,653185648;38,717469;Banyeres de Mariola;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,031776508;38,82292227;Sanet y Negrals;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;0,023174782;38,81790837;Ondara;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,068692824;38,78936832;Orba;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,770908126;37,94558396;San Miguel de Salinas;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,742082671;38,02807234;Montesinos, Los;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,598688379;38,51318213;Tibi;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,817356247;38,53506181;Sax;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,903229549;38,16237059;Cox;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,895556279;38,06276693;Bigastro;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,636948313;38,43308328;Agost;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,778117567;37,97784565;San Miguel de Salinas;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Alicante/Alacant;-0,75697496;38,08246943;Benijófar;;
